FMT,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS, 29298186, 0, 3, 221176999, 2252, 18, 0.64, 52.5259597, 13.3143368, 63.88, 0.07138628, 348.6901, 0.001, 0, 1
GPS, 29498207, 0, 3, 221177199, 2252, 18, 0.64, 52.5259598, 13.3143368, 63.86, 0.05108816, 356.6335, -0.057, 0, 1
GPS, 29698138, 0, 3, 221177399, 2252, 18, 0.64, 52.5259598, 13.3143368, 63.85, 0.0344093, 54.46232, -0.012, 0, 1
GPS, 29898211, 0, 3, 221177599, 2252, 18, 0.64, 52.5259597, 13.3143369, 63.84, 0.007615773, 156.8014, -0.09200001, 0, 1
GPS, 30098209, 0, 3, 221177799, 2252, 18, 0.64, 52.5259597, 13.3143368, 63.82, 0.03962323, 132.9546, -0.136, 0, 1
GPS, 30318289, 0, 3, 221177999, 2252, 18, 0.64, 52.5259596, 13.3143368, 63.82, 0.01345363, 41.98721, -0.023, 0, 1
GPS, 30498213, 0, 3, 221178199, 2252, 18, 0.64, 52.5259595, 13.3143369, 63.81, 0.03701351, 88.45184, -0.021, 0, 1
GPS, 30698195, 0, 3, 221178399, 2252, 18, 0.64, 52.5259594, 13.314337, 63.8, 0.06462198, 111.8014, -0.041, 0, 1
GPS, 30898139, 0, 3, 221178599, 2252, 18, 0.64, 52.5259593, 13.314337, 63.78, 0.007071068, 351.8699, -0.016, 0, 1
GPS, 31098154, 0, 3, 221178799, 2252, 18, 0.64, 52.5259591, 13.3143371, 63.76, 0.08504117, 131.1859, 0.008, 0, 1
GPS, 31298198, 0, 3, 221178999, 2252, 18, 0.64, 52.525959, 13.3143372, 63.77, 0.01843909, 220.6013, 0.014, 0, 1
GPS, 31498130, 0, 3, 221179199, 2252, 18, 0.64, 52.5259589, 13.3143371, 63.76, 0.04272002, 286.3138, -0.046, 0, 1
GPS, 31698171, 0, 3, 221179399, 2252, 18, 0.64, 52.5259589, 13.314337, 63.76, 0.04509989, 356.1859, 0.01, 0, 1
GPS, 31898111, 0, 3, 221179599, 2252, 18, 0.64, 52.5259588, 13.314337, 63.76, 0.02624881, 162.2553, 0.046, 0, 1
GPS, 32098193, 0, 3, 221179799, 2252, 18, 0.64, 52.5259587, 13.314337, 63.73, 0.01941649, 124.5085, -0.09900001, 0, 1
GPS, 32277964, 0, 3, 221179999, 2252, 18, 0.64, 52.5259586, 13.314337, 63.74, 0.01931321, 291.2505, 0.002, 0, 1
GPS, 32498121, 0, 3, 221180199, 2252, 18, 0.64, 52.5259586, 13.314337, 63.75, 0.004, 180, -0.044, 0, 1
GPS, 32698174, 0, 3, 221180399, 2252, 18, 0.64, 52.5259586, 13.314337, 63.74, 0.03312099, 61.11341, -0.048, 0, 1
GPS, 32898160, 0, 3, 221180599, 2252, 18, 0.64, 52.5259586, 13.314337, 63.74, 0.0210238, 25.34617, -0.134, 0, 1
GPS, 33098143, 0, 3, 221180799, 2252, 18, 0.64, 52.5259585, 13.314337, 63.75, 0.01655295, 154.9831, 0.067, 0, 1
GPS, 33298161, 0, 3, 221180999, 2252, 18, 0.64, 52.5259585, 13.314337, 63.74, 0.03848376, 245.4328, 0.019, 0, 1
